,gameId,playId,down,yardsToGo,yardsToEndzone,quarter,secondsUntilHalf,specialTeamsResult,kickingTeamScore,receivingTeamScore,kickDirectionIntended,kickType,snapTime,operationTime,hangTime,week,year,end_frame,punterId,rGunnerId,rGunner_y,rGunner_vises,rVises1,rVises2,rGunner_lx,rGunner_ly,lGunnerId,lGunner_y,lGunner_vises,lVises1,lVises2,lGunner_lx,lGunner_ly,football_lx,football_ly
2154,2019090500,125,4,20,85.0,1,1695,Return,0.0,0.0,C,N,0.88,2.21,4.81,1,2019,82,46241,46724,7.699999809265137,2,35583,47988,40.91999816894531,32.77000045776367,43452,47.150001525878906,2,37212,43413,60.630001068115234,46.970001220703125,76.5999984741211,36.97999954223633
2155,2019090500,327,4,15,45.0,1,1487,Fair Catch,0.0,0.0,L,A,0.82,2.24,4.33,1,2019,78,41420,35583,7.553333282470703,1,46087,,97.16000366210938,39.63333511352539,39975,43.983333587646484,2,44845,47804,102.66000366210938,47.36333465576172,97.97000122070312,42.19333267211914
2156,2019090500,443,4,17,95.0,1,1384,Return,0.0,0.0,C,N,0.8,2.1,4.1,1,2019,74,46241,46724,7.619999885559082,2,35583,47988,50.31999969482422,3.4100000858306885,43452,46.709999084472656,2,37212,43413,24.68000030517578,26.850000381469727,57.459999084472656,26.56999969482422
2157,2019090500,744,4,5,55.0,1,1100,Fair Catch,0.0,3.0,L,N,0.86,2.07,4.89,1,2019,82,46241,43357,4.730000019073486,1,47988,,94.86000061035156,35.63999938964844,43452,44.119998931884766,1,37212,,100.93000030517578,41.81999969482422,102.94000244140625,42.880001068115234
2158,2019090500,1023,4,9,71.0,2,894,Return,3.0,0.0,L,N,0.89,2.35,4.58,1,2019,83,41420,35583,7.559999942779541,1,46087,,77.33000183105469,34.939998626708984,46120,46.970001220703125,2,43357,46724,73.8499984741211,52.959999084472656,84.66999816894531,47.83000183105469
2159,2019090500,1350,4,3,41.0,2,680,Downed,3.0,7.0,C,A,0.85,2.26,4.43,1,2019,76,41420,35583,10.380000114440918,1,46087,,95.5199966430664,41.849998474121094,39975,44.0,2,46724,47804,95.95999908447266,49.0,103.33000183105469,39.599998474121094
2160,2019090500,1588,4,14,74.0,2,337,Downed,7.0,3.0,C,N,0.83,2.08,4.03,1,2019,73,46241,43357,7.703333377838135,1,37212,,83.7300033569336,8.40333366394043,43452,46.70333480834961,2,43413,47988,63.91999816894531,20.683332443237305,81.0199966430664,17.83333396911621
2161,2019090500,1797,4,14,77.0,2,134,Fair Catch,3.0,7.0,C,N,0.89,2.26,4.69,1,2019,78,41420,35583,7.269999980926514,2,43357,47804,66.41999816894531,23.6200008392334,39975,42.349998474121094,2,46114,46724,73.52999877929688,31.479999542236328,73.37000274658203,30.760000228881836
2162,2019090500,2004,4,9,51.0,2,55,Downed,7.0,3.0,C,A,0.86,2.14,4.82,1,2019,79,46241,42818,8.523333549499512,1,41240,,83.4000015258789,6.353333473205566,43452,44.95333480834961,1,37092,,98.9800033569336,15.513333320617676,95.77999877929688,20.15333366394043
2163,2019090500,2151,4,10,85.0,2,24,Downed,3.0,7.0,L,A,0.86,2.21,4.21,1,2019,75,41420,35583,5.929999828338623,1,43357,,66.70999908447266,28.649999618530273,39975,42.84000015258789,1,46724,,69.86000061035156,46.77000045776367,75.30000305175781,46.34000015258789
2164,2019090500,2356,4,8,73.0,3,1730,Fair Catch,3.0,7.0,C,N,0.93,2.35,4.53,1,2019,81,41420,35583,7.559999942779541,1,43357,,75.22000122070312,32.08000183105469,39975,44.709999084472656,2,46114,46724,67.63999938964844,34.38999938964844,75.56999969482422,38.29999923706055
2165,2019090500,2625,4,22,47.0,3,1558,Fair Catch,7.0,3.0,C,A,0.85,2.13,3.99,1,2019,71,46241,43452,10.803333282470703,2,35583,47988,75.16999816894531,12.633333206176758,43357,46.36333465576172,1,37212,,97.30999755859375,16.873332977294922,100.33000183105469,15.833333015441895
2166,2019090500,2731,4,1,81.0,3,1450,Out of Bounds,3.0,7.0,L,N,0.86,2.36,3.69,1,2019,72,41420,35583,9.899999618530273,1,43357,,60.959999084472656,38.209999084472656,39975,44.130001068115234,1,46724,,67.06999969482422,50.380001068115234,66.0,48.400001525878906
2167,2019090500,2851,4,20,68.0,3,1303,Return,7.0,3.0,L,N,0.85,2.17,4.54,1,2019,77,46241,43357,8.103333473205566,2,35583,47988,76.04000091552734,39.13333511352539,43452,46.52333450317383,2,37212,43413,72.7699966430664,50.9033317565918,91.56999969482422,52.983333587646484
2168,2019090500,3299,4,17,50.0,4,900,Fair Catch,7.0,3.0,L,A,0.82,2.24,4.21,1,2019,77,46241,43357,8.90999984741211,2,35583,47988,87.93000030517578,38.2400016784668,42818,45.06999969482422,2,37212,43413,89.95999908447266,50.5,96.1500015258789,43.43000030517578
2169,2019090500,3624,4,31,64.0,4,715,Fair Catch,3.0,7.0,C,N,0.88,2.27,4.88,1,2019,81,41420,35583,7.103333473205566,1,43357,,95.83999633789062,13.033333778381348,43413,48.68333435058594,2,46114,46724,76.0999984741211,23.9233341217041,97.97000122070312,17.523332595825195
2170,2019090500,4468,4,3,73.0,4,105,Return,10.0,3.0,L,N,0.85,2.17,4.63,1,2019,79,46241,46724,25.510000228881836,2,35583,47988,48.61000061035156,7.019999980926514,43357,33.900001525878906,2,37212,43413,63.29999923706055,34.040000915527344,95.66999816894531,40.93000030517578
2171,2019090800,426,4,8,42.0,1,1369,Out of Bounds,0.0,0.0,L,A,0.86,2.15,4.15,1,2019,69,38815,42816,6.37333345413208,1,43351,,89.05000305175781,27.35333251953125,43495,43.143333435058594,1,46124,,105.79000091552734,46.70333480834961,81.08999633789062,55.95333480834961
2172,2019090800,513,4,2,57.0,1,1239,Touchback,0.0,0.0,C,N,0.86,2.08,4.31,1,2019,74,42098,46256,11.029999732971191,1,46456,,88.19999694824219,29.31999969482422,46233,45.720001220703125,1,42816,,87.91000366210938,49.310001373291016,109.4000015258789,33.0099983215332
2173,2019090800,595,4,10,80.0,1,1194,Return,0.0,0.0,C,N,0.75,2.08,4.73,1,2019,80,38815,43495,7.833333492279053,1,46233,,76.77999877929688,22.81333351135254,42816,46.483333587646484,1,44065,,75.91000366210938,47.08333206176758,94.87000274658203,30.483333587646484
