,gameId,playId,down,yardsToGo,yardsToEndzone,quarter,secondsUntilHalf,specialTeamsResult,kickingTeamScore,receivingTeamScore,kickDirectionIntended,kickType,snapTime,operationTime,hangTime,week,year,end_frame,punterId,rGunnerId,rGunner_y,rGunner_vises,rVises1,rVises2,rGunner_lx,rGunner_ly,lGunnerId,lGunner_y,lGunner_vises,lVises1,lVises2,lGunner_lx,lGunner_ly,football_lx,football_ly
4187,2020091000,1039,4,4,50.0,2,697,Fair Catch,7.0,7.0,L,A,0.8,2.11,4.24,1,2020,77,38600,46778,7.309999942779541,1,46757,,93.94999694824219,34.599998474121094,46312,40.22999954223633,1,43986,,98.91999816894531,45.15999984741211,101.45999908447266,37.47999954223633
4188,2020091000,2437,4,9,52.0,3,1263,Fair Catch,7.0,24.0,L,A,0.84,2.09,3.98,1,2020,73,38600,46778,10.649999618530273,1,47984,,90.37000274658203,39.9900016784668,46312,43.66999816894531,1,43986,,97.83000183105469,42.86000061035156,99.72000122070312,41.4900016784668
4189,2020091000,2659,4,4,43.0,3,982,Downed,24.0,7.0,L,A,0.87,1.99,4.1,1,2020,72,52791,46522,9.603333473205566,1,41316,,97.02999877929688,40.27333450317383,43986,44.2933349609375,1,46312,,105.8499984741211,49.813331604003906,102.91000366210938,45.38333511352539
4190,2020091000,3435,4,7,70.0,4,339,Return,31.0,13.0,C,N,0.84,2.04,3.8,1,2020,67,52791,46522,7.239999771118164,2,41316,46778,69.05000305175781,18.65999984741211,43986,42.209999084472656,1,46312,,73.33999633789062,32.7400016784668,91.5199966430664,24.280000686645508
4191,2020091300,1333,4,13,78.0,2,587,Out of Bounds,14.0,9.0,R,N,0.86,1.88,4.46,1,2020,79,46218,39232,8.053333282470703,1,41250,,83.26000213623047,0.34333333373069763,47915,44.17333221435547,1,40018,,71.58000183105469,7.983333110809326,89.76000213623047,-1.3566666841506958
4192,2020091300,1510,4,13,63.0,2,423,Return,9.0,14.0,R,N,0.95,2.12,4.78,1,2020,77,52636,48374,4.070000171661377,1,47915,,98.0199966430664,10.970000267028809,44969,48.470001220703125,2,39232,46215,75.56999969482422,29.790000915527344,99.88999938964844,11.8100004196167
4193,2020091300,1656,4,2,55.0,2,249,Fair Catch,14.0,9.0,C,A,0.91,2.05,4.6,1,2020,75,46218,39232,6.063333511352539,1,41250,,89.91000366210938,28.4233341217041,47915,46.02333450317383,1,40018,,91.63999938964844,36.51333236694336,97.26000213623047,30.253334045410156
4194,2020091300,1810,4,6,85.0,2,155,Fair Catch,9.0,14.0,L,A,0.91,2.1,4.81,1,2020,79,52636,48374,7.829999923706055,2,47830,47915,54.119998931884766,33.0099983215332,44969,49.40999984741211,2,39232,46215,47.810001373291016,22.020000457763672,69.19000244140625,39.2400016784668
4195,2020091300,1986,4,5,55.0,2,104,Fair Catch,14.0,9.0,L,A,0.89,2.02,4.04,1,2020,70,46218,39232,11.113333702087402,1,41250,,86.51000213623047,43.71333312988281,47915,46.37333297729492,1,40018,,100.0199966430664,49.13333511352539,101.62000274658203,45.073333740234375
4198,2020091301,1332,4,41,60.0,2,531,Downed,6.0,10.0,L,N,0.82,1.96,3.84,1,2020,69,48139,46992,5.483333110809326,1,46187,,75.22000122070312,30.703332901000977,46672,48.233333587646484,1,43393,,87.30999755859375,48.893333435058594,92.06999969482422,41.1533317565918
4199,2020091301,2272,4,14,62.0,3,1711,Return,24.0,6.0,L,N,0.82,2.1,4.17,1,2020,74,31018,47876,6.909999847412109,2,46672,47902,82.05999755859375,39.95000076293945,46187,47.11000061035156,2,46122,46346,79.05000305175781,52.709999084472656,96.18000030517578,52.06999969482422
4200,2020091301,2590,4,10,55.0,3,1581,Return,6.0,24.0,L,N,0.78,1.95,3.34,1,2020,64,48139,46346,5.673333168029785,2,42407,43393,63.75,31.073333740234375,46672,47.823333740234375,1,46187,,91.5199966430664,48.60333251953125,91.25,41.823333740234375
4201,2020091301,3188,4,9,45.0,3,951,Downed,31.0,6.0,C,A,0.84,2.08,4.61,1,2020,77,31018,46187,6.650000095367432,1,46672,,104.27999877929688,13.930000305175781,52500,39.540000915527344,1,46122,,105.16999816894531,48.720001220703125,104.6500015258789,17.100000381469727
4203,2020091301,3954,4,12,58.0,4,255,Return,6.0,38.0,C,N,0.87,2.06,4.4,1,2020,76,48139,46162,5.739999771118164,1,46187,,89.4800033569336,21.829999923706055,46346,46.970001220703125,1,44828,,85.12000274658203,35.040000915527344,93.26000213623047,24.59000015258789
4204,2020091302,137,4,7,88.0,1,1738,Return,0.0,0.0,C,N,0.8,1.97,4.23,1,2020,73,52599,45395,7.340000152587891,1,46190,,59.779998779296875,20.0,52476,45.79999923706055,1,37200,,60.119998931884766,27.639999389648438,78.04000091552734,26.31999969482422
4205,2020091302,399,4,9,80.0,1,1477,Return,0.0,0.0,R,N,0.83,2.12,4.85,1,2020,82,52599,45395,7.110000133514404,2,46190,46223,66.72000122070312,4.769999980926514,52476,45.349998474121094,1,37200,,68.0199966430664,12.960000038146973,74.98999786376953,4.989999771118164
4206,2020091302,740,4,10,75.0,1,1221,Return,0.0,7.0,L,N,0.78,1.94,3.84,1,2020,70,52599,45395,7.650000095367432,2,46190,52536,44.7400016784668,23.84000015258789,52476,46.470001220703125,1,37200,,71.94999694824219,39.540000915527344,77.58999633789062,32.400001525878906
4207,2020091302,1155,4,3,56.0,2,900,Return,0.0,14.0,L,A,0.82,2.01,4.05,1,2020,71,52599,45395,7.173333168029785,1,44839,,86.5,37.0433349609375,52476,46.24333190917969,1,46698,,99.30999755859375,47.323333740234375,101.56999969482422,45.92333221435547
4208,2020091302,2505,4,10,75.0,3,1725,Fair Catch,21.0,3.0,R,N,0.88,2.11,4.95,1,2020,82,46903,46223,5.260000228881836,1,44971,,85.83000183105469,12.420000076293945,37200,42.40999984741211,1,45395,,72.08000183105469,18.440000534057617,88.33999633789062,13.710000038146973
4209,2020091302,2662,4,7,65.0,3,1518,Return,3.0,21.0,C,N,0.78,1.96,3.85,1,2020,70,52599,45395,7.993333339691162,2,46190,48487,70.47000122070312,9.75333309173584,52476,46.4033317565918,1,37200,,86.4800033569336,30.543333053588867,92.77999877929688,28.47333335876465
4210,2020091302,3789,4,8,73.0,4,591,Fair Catch,10.0,24.0,C,N,0.85,2.08,4.08,1,2020,73,52599,45395,7.510000228881836,1,46190,,78.9800033569336,17.1200008392334,52476,46.65999984741211,1,37200,,69.0,27.329999923706055,74.41999816894531,18.43000030517578
4211,2020091303,2143,4,3,82.0,3,1675,Return,15.0,17.0,R,N,0.9,2.1,4.48,1,2020,73,53146,46273,7.173333168029785,1,48241,,70.47000122070312,6.773333549499512,52939,39.58333206176758,1,47823,,66.66999816894531,19.28333282470703,84.98999786376953,4.9633331298828125
4212,2020091303,2432,4,20,86.0,3,1455,Return,15.0,20.0,C,N,0.88,2.0,5.14,1,2020,81,53146,52939,14.263333320617676,1,48241,,74.6500015258789,31.60333251953125,46273,46.99333190917969,2,47810,47912,61.130001068115234,48.21333312988281,82.73999786376953,33.71333312988281
4213,2020091303,3247,4,12,64.0,4,578,Return,27.0,22.0,L,N,1.01,2.22,4.68,1,2020,78,48335,47912,9.713333129882812,1,52521,,82.55999755859375,39.35333251953125,48241,46.563331604003906,2,46273,52852,87.41000366210938,50.733333587646484,95.9800033569336,48.86333465576172
4214,2020091304,116,4,1,66.0,1,1705,Fair Catch,0.0,0.0,L,A,0.82,2.05,3.71,1,2020,69,41420,35583,7.75,1,43987,,77.55000305175781,33.54999923706055,39975,46.630001068115234,1,47929,,86.54000091552734,45.099998474121094,88.19000244140625,45.02000045776367
4215,2020091304,409,4,9,78.0,1,1627,Return,0.0,0.0,L,N,0.84,2.09,4.96,1,2020,81,48258,43987,5.9633331298828125,1,37212,,82.63999938964844,16.793333053588867,44978,48.233333587646484,2,35583,52571,68.80000305175781,34.063331604003906,84.27999877929688,17.85333251953125
4216,2020091304,1025,4,1,66.0,2,853,Downed,3.0,3.0,R,N,0.85,2.16,5.16,1,2020,83,48258,43987,7.519999980926514,1,41240,,93.83999633789062,12.520000457763672,42590,46.7400016784668,1,52458,,86.98999786376953,21.93000030517578,102.58000183105469,10.460000038146973
4217,2020091304,1916,4,1,66.0,2,74,Fair Catch,6.0,6.0,C,N,0.85,2.11,5.11,1,2020,81,48258,43987,8.420000076293945,1,41240,,94.73999786376953,8.640000343322754,44978,46.709999084472656,1,52458,,88.4800033569336,19.540000915527344,99.1500015258789,17.079999923706055
4218,2020091304,2017,4,7,86.0,2,51,Return,6.0,6.0,C,N,0.9,2.27,4.59,1,2020,79,41420,35583,7.893333435058594,1,43987,,68.94000244140625,28.213333129882812,39975,49.5533332824707,2,42590,52574,64.56999969482422,40.77333450317383,78.68000030517578,34.733333587646484
4219,2020091304,2655,4,5,52.0,3,1357,Fair Catch,6.0,20.0,L,A,0.88,2.12,4.32,1,2020,76,41420,35583,7.923333168029785,1,43987,,90.94999694824219,39.70333480834961,39975,46.44333267211914,1,42590,,100.08999633789062,42.0433349609375,100.05000305175781,48.063331604003906
4220,2020091304,3479,4,17,60.0,4,653,Out of Bounds,23.0,13.0,L,N,0.76,1.93,3.77,1,2020,67,48258,43987,6.9633331298828125,1,37212,,90.47000122070312,13.733333587646484,44978,47.223331451416016,1,52571,,88.33000183105469,48.92333221435547,89.13999938964844,48.413333892822266
4221,2020091304,3641,4,41,71.0,4,517,Downed,13.0,23.0,C,N,0.92,2.2,3.33,1,2020,67,41420,35583,6.090000152587891,2,43987,52574,73.47000122070312,26.040000915527344,39975,46.22999954223633,1,42590,,80.56999969482422,42.36000061035156,81.08999633789062,37.91999816894531
4222,2020091305,548,4,15,64.0,1,1288,Out of Bounds,0.0,7.0,R,N,0.96,2.21,4.02,1,2020,72,46316,52737,10.773333549499512,1,47817,,90.44999694824219,5.603333473205566,52631,42.5433349609375,1,41448,,76.48999786376953,13.523333549499512,81.27999877929688,0.6333333253860474
4223,2020091305,937,4,4,67.0,2,876,Fair Catch,0.0,7.0,R,N,0.82,2.27,4.96,1,2020,83,46316,52737,9.630000114440918,1,47817,,96.25,6.579999923706055,52631,42.099998474121094,1,41448,,74.66999816894531,14.789999961853027,93.83999633789062,4.699999809265137
4224,2020091305,2211,4,17,82.0,3,1694,Downed,14.0,17.0,C,N,1.07,2.36,3.9,1,2020,74,46316,52737,9.143333435058594,1,52619,,62.90999984741211,3.623333215713501,52631,45.733333587646484,1,41448,,66.9800033569336,27.963333129882812,69.80999755859375,27.74333381652832
4225,2020091306,1331,4,15,80.0,2,371,Return,7.0,8.0,R,N,0.95,2.18,4.12,1,2020,74,34723,48000,8.143333435058594,1,47968,,70.33999633789062,18.183332443237305,52878,46.01333236694336,1,46114,,67.56999969482422,21.58333396911621,70.41999816894531,18.85333251953125
4226,2020091306,2197,4,7,49.0,3,1624,Fair Catch,10.0,22.0,L,N,0.79,2.01,4.29,1,2020,77,34723,48000,8.34333324432373,1,47968,,93.12999725341797,29.613332748413086,52878,43.35333251953125,1,46114,,106.91000366210938,44.8033332824707,102.2300033569336,41.88333511352539
4227,2020091306,2375,4,6,59.0,3,1355,Out of Bounds,22.0,10.0,L,N,0.89,2.1,4.88,1,2020,82,46241,43357,8.720000267028809,1,52439,,88.75,37.439998626708984,46114,43.33000183105469,1,48000,,93.51000213623047,50.36000061035156,93.4800033569336,51.72999954223633
4229,2020091307,328,4,9,51.0,1,1400,Downed,0.0,0.0,L,N,0.85,2.16,4.54,1,2020,79,47946,38707,6.203333377838135,1,48476,,98.4800033569336,36.573333740234375,33234,43.823333740234375,1,45608,,101.88999938964844,40.61333465576172,101.5,39.323333740234375
4230,2020091307,504,4,12,58.0,1,1171,Touchback,0.0,0.0,L,N,0.85,2.0,4.34,1,2020,84,45296,44931,9.25,1,46775,,95.58999633789062,42.650001525878906,43501,45.91999816894531,1,38707,,101.33999633789062,47.97999954223633,109.54000091552734,44.93000030517578
4231,2020091307,1363,4,1,66.0,2,146,Return,7.0,3.0,C,N,0.98,2.23,4.6,1,2020,79,47946,38707,5.75,1,42370,,89.83999633789062,27.020000457763672,33234,46.43000030517578,1,52438,,85.0999984741211,45.220001220703125,97.80000305175781,35.0099983215332
4232,2020091307,2202,4,5,70.0,3,1429,Fair Catch,3.0,14.0,L,N,0.95,2.11,4.65,1,2020,79,45296,44931,9.25,1,46775,,79.77999877929688,36.41999816894531,43501,46.880001068115234,1,38707,,87.05000305175781,42.7400016784668,87.37999725341797,40.91999816894531
4233,2020091308,483,4,2,51.0,1,1447,Downed,0.0,7.0,C,A,0.77,2.09,4.28,1,2020,78,40600,46329,11.023333549499512,1,45021,,101.31999969482422,22.453332901000977,46362,43.87333297729492,1,46535,,104.45999908447266,38.573333740234375,102.76000213623047,31.523332595825195
4234,2020091308,864,4,10,75.0,1,1020,Fair Catch,0.0,10.0,C,N,0.81,2.06,4.75,1,2020,84,40600,46329,10.59333324432373,2,45021,47974,66.6500015258789,29.093334197998047,46362,44.87333297729492,1,46535,,84.77999877929688,39.313331604003906,85.9800033569336,40.34333419799805
4235,2020091308,1073,4,13,66.0,2,810,Return,10.0,0.0,L,N,0.82,2.12,4.87,1,2020,85,45603,45021,7.253333568572998,1,46310,,92.83000183105469,28.953332901000977,46535,45.86333465576172,2,44893,46329,86.91999816894531,49.5533332824707,97.06999969482422,39.1533317565918
4236,2020091308,1597,4,13,58.0,2,329,Return,0.0,17.0,C,N,0.77,2.0,5.06,1,2020,85,40600,46329,11.140000343322754,2,45021,47974,82.6500015258789,2.9200000762939453,46362,43.779998779296875,1,46535,,91.8499984741211,22.020000457763672,98.80999755859375,18.1299991607666
4238,2020091308,1801,4,8,71.0,2,115,Downed,0.0,17.0,L,N,0.81,2.03,4.82,1,2020,79,40600,46329,11.09000015258789,1,45021,,73.69999694824219,22.059999465942383,46362,44.45000076293945,1,46535,,87.5,49.11000061035156,78.16999816894531,47.11000061035156
4239,2020091308,2104,4,10,75.0,2,20,Return,17.0,7.0,C,N,0.86,2.14,4.95,1,2020,83,45603,45021,6.313333511352539,1,46310,,84.54000091552734,8.793333053588867,46535,44.70333480834961,2,44893,46329,69.41999816894531,46.95333480834961,92.5999984741211,16.663333892822266
4240,2020091308,2248,4,2,67.0,3,1716,Return,17.0,7.0,C,N,0.84,2.18,4.51,1,2020,81,45603,45021,7.1533331871032715,1,48010,,95.66999816894531,21.523332595825195,46535,46.0433349609375,1,44893,,83.01000213623047,40.253334045410156,104.33999633789062,23.08333396911621
4241,2020091308,2362,4,20,94.0,3,1620,Fair Catch,7.0,17.0,C,N,0.78,2.07,4.52,1,2020,79,40600,46329,5.289999961853027,2,45021,47974,29.579999923706055,32.650001525878906,46362,43.79999923706055,1,43701,,65.3499984741211,40.09000015258789,65.0199966430664,35.79999923706055
4242,2020091308,2880,4,20,67.0,3,1148,Return,14.0,17.0,C,N,0.72,2.0,4.55,1,2020,80,40600,46329,6.320000171661377,2,43701,47974,67.8499984741211,0.5799999833106995,46362,43.83000183105469,2,45021,52535,81.12000274658203,46.15999984741211,93.05000305175781,34.040000915527344
4243,2020091309,121,4,5,70.0,1,1729,Touchback,0.0,0.0,R,N,0.94,2.23,4.25,1,2020,75,34593,46724,8.739999771118164,1,46729,,85.26000213623047,4.289999961853027,45020,42.310001373291016,1,45571,,86.91000366210938,16.989999771118164,100.44000244140625,10.1899995803833
4244,2020091309,270,4,7,63.0,1,1612,Out of Bounds,0.0,0.0,L,N,0.82,2.19,4.34,1,2020,77,42663,46729,3.2733333110809326,1,43495,,82.88999938964844,37.893333435058594,45571,50.063331604003906,2,45020,46724,92.23999786376953,50.313331604003906,89.0999984741211,54.5433349609375
4245,2020091309,437,4,18,63.0,1,1404,Return,0.0,0.0,L,N,0.88,2.23,4.61,1,2020,79,34593,46724,10.15999984741211,1,46729,,81.5,30.639999389648438,45020,47.15999984741211,1,45571,,92.2300033569336,45.029998779296875,98.69000244140625,45.0
4246,2020091309,539,4,4,77.0,1,1326,Return,0.0,0.0,L,N,0.87,2.2,4.58,1,2020,79,42663,46729,3.873333215713501,1,43495,,72.8499984741211,29.113332748413086,52559,48.92333221435547,2,45020,46724,69.29000091552734,52.733333587646484,83.25,47.003334045410156
4247,2020091309,655,4,15,67.0,1,1250,Return,0.0,0.0,C,N,0.94,2.22,4.27,1,2020,76,34593,46724,9.130000114440918,2,46729,47843,47.36000061035156,24.469999313354492,45020,47.79999923706055,1,45571,,79.68000030517578,41.59000015258789,98.33999633789062,31.40999984741211
4248,2020091309,781,4,10,95.0,1,1148,Out of Bounds,0.0,0.0,C,N,0.86,2.06,3.19,1,2020,64,42663,46729,3.493333339691162,1,43495,,49.939998626708984,14.683333396911621,52559,46.51333236694336,1,46724,,37.47999954223633,32.63333511352539,55.79999923706055,30.56333351135254
4249,2020091309,1350,4,14,51.0,2,687,Touchback,7.0,0.0,L,N,0.85,2.23,4.82,1,2020,82,34593,46724,9.283333778381348,1,45571,,98.04000091552734,35.85333251953125,45020,46.33333206176758,1,46729,,104.4800033569336,44.19333267211914,104.8499984741211,39.02333450317383
4250,2020091309,1770,4,7,55.0,2,302,Touchback,7.0,3.0,C,N,0.88,2.24,5.1,1,2020,84,34593,46724,7.833333492279053,1,45571,,96.91000366210938,23.343334197998047,45020,42.03333282470703,1,46729,,105.29000091552734,32.01333236694336,105.81999969482422,31.913333892822266
4251,2020091309,2091,4,9,58.0,2,40,Fair Catch,7.0,3.0,R,N,0.87,2.22,4.43,1,2020,78,34593,46724,7.853333473205566,2,46729,47843,73.1500015258789,0.16333332657814026,45020,42.45333480834961,1,45571,,98.81999969482422,15.773333549499512,95.61000061035156,12.043333053588867
4252,2020091309,2783,4,8,73.0,3,1373,Return,6.0,10.0,C,N,0.87,2.26,4.64,1,2020,79,42663,46729,2.56333327293396,2,43495,45020,79.76000213623047,5.933333396911621,52559,47.78333282470703,1,46724,,72.83000183105469,38.34333419799805,98.05999755859375,15.41333293914795
4253,2020091309,3960,4,1,67.0,4,197,Out of Bounds,16.0,13.0,C,N,0.88,2.17,4.16,1,2020,73,42663,46729,3.2200000286102295,1,46239,,74.55000305175781,24.559999465942383,52559,48.880001068115234,1,43313,,79.73999786376953,40.06999969482422,82.88999938964844,39.15999984741211
4254,2020091310,156,4,3,54.0,1,1648,Fair Catch,0.0,0.0,R,A,0.84,2.13,4.38,1,2020,82,34615,45648,9.199999809265137,1,46132,,102.80000305175781,7.170000076293945,46378,44.869998931884766,1,47877,,91.56999969482422,8.670000076293945,94.19000244140625,6.289999961853027
4255,2020091310,612,4,3,57.0,1,1179,Fair Catch,0.0,7.0,R,N,0.84,2.15,4.61,1,2020,84,34615,45648,9.130000114440918,1,46132,,103.37000274658203,9.630000114440918,46378,44.79999923706055,1,47877,,99.80000305175781,19.270000457763672,98.16999816894531,11.84000015258789
4257,2020091310,2046,4,14,69.0,2,22,Return,7.0,17.0,L,A,0.91,2.05,4.73,1,2020,84,42508,43397,8.380000114440918,2,35471,45648,73.22000122070312,28.15999984741211,47877,47.61000061035156,2,46378,47888,82.86000061035156,48.52000045776367,89.95999908447266,46.29999923706055
4258,2020091310,2626,4,15,54.0,3,1488,Fair Catch,24.0,14.0,R,N,0.85,2.13,4.82,1,2020,85,34615,45648,9.90333366394043,1,47877,,96.69999694824219,12.863333702087402,46378,47.3033332824707,1,43397,,92.0999984741211,17.233333587646484,97.41999816894531,9.993332862854004
4259,2020091310,2772,4,13,77.0,3,1381,Return,14.0,24.0,C,N,0.87,2.11,3.57,1,2020,73,42508,43397,7.369999885559082,2,35471,45648,59.54999923706055,4.809999942779541,47877,42.13999938964844,2,46378,47888,61.150001525878906,17.639999389648438,70.73999786376953,17.530000686645508
4260,2020091310,2861,4,15,50.0,3,1283,Fair Catch,24.0,14.0,L,N,0.87,2.11,3.99,1,2020,77,34615,45648,8.333333015441895,1,47877,,101.66999816894531,33.8033332824707,46378,43.063331604003906,1,43397,,104.9000015258789,45.233333587646484,99.37000274658203,40.18333435058594
4261,2020091310,3198,4,7,72.0,3,922,Downed,24.0,17.0,L,N,0.85,2.19,4.73,1,2020,81,34615,45648,8.333333015441895,1,47877,,82.4000015258789,43.13333511352539,46378,45.8033332824707,1,43397,,87.2699966430664,44.43333435058594,81.0,46.71333312988281
4262,2020091310,3298,4,12,80.0,4,855,Return,17.0,24.0,R,N,0.92,2.12,4.8,1,2020,82,42508,43397,6.863333225250244,2,35471,45648,65.16999816894531,14.523333549499512,47877,42.34333419799805,2,46378,47888,65.2300033569336,17.883333206176758,88.80000305175781,12.463333129882812
4263,2020091310,3790,4,10,75.0,4,468,Return,17.0,34.0,L,N,0.85,2.06,4.55,1,2020,80,42508,43397,7.1533331871032715,1,35471,,72.70999908447266,41.13333511352539,47877,42.69333267211914,2,46378,47888,73.45999908447266,52.36333465576172,81.06999969482422,49.46333312988281
4264,2020091310,3902,4,7,61.0,4,366,Return,34.0,17.0,C,N,0.79,2.12,4.44,1,2020,82,34615,45648,7.699999809265137,1,47877,,97.43000030517578,34.77000045776367,46378,45.66999816894531,1,43397,,92.9000015258789,40.56999969482422,98.98999786376953,35.439998626708984
4265,2020091311,405,4,10,65.0,1,1517,Return,0.0,3.0,R,N,0.8,2.04,4.18,1,2020,76,29141,43680,6.87333345413208,1,46164,,80.05000305175781,11.75333309173584,46671,46.4033317565918,2,41358,44878,75.91999816894531,14.543333053588867,96.91000366210938,9.723333358764648
4266,2020091311,569,4,7,72.0,1,1419,Return,0.0,10.0,R,N,0.78,2.01,4.37,1,2020,78,29141,43680,5.703333377838135,1,46164,,60.47999954223633,-2.3466665744781494,46671,45.663333892822266,2,41358,44878,70.16000366210938,18.093334197998047,89.13999938964844,5.393333435058594
4267,2020091311,854,4,3,68.0,1,1222,Fair Catch,10.0,7.0,L,A,0.86,2.54,4.0,1,2020,75,47893,46164,9.170000076293945,1,43915,,79.97000122070312,37.33000183105469,42416,43.599998474121094,1,47816,,83.12999725341797,42.040000915527344,87.8499984741211,39.439998626708984
4268,2020091311,986,4,9,77.0,1,1151,Return,7.0,10.0,R,N,0.71,2.02,4.22,1,2020,77,29141,43680,8.173333168029785,1,46164,,77.30999755859375,6.443333148956299,46671,47.313331604003906,2,41358,44878,59.41999816894531,34.08333206176758,78.62999725341797,7.743333339691162
4269,2020091311,1748,4,9,36.0,2,326,Return,10.0,7.0,L,A,0.86,2.03,3.97,1,2020,73,47893,46164,9.483333587646484,1,37078,,95.55999755859375,41.973331451416016,44878,44.143333435058594,1,47816,,109.5199966430664,51.03333282470703,104.18000030517578,46.233333587646484
4270,2020091311,2754,4,12,63.0,3,1397,Return,13.0,10.0,R,N,0.84,2.06,4.51,1,2020,78,47893,42416,8.84333324432373,1,43915,,87.88999938964844,9.91333293914795,46164,46.1533317565918,2,46671,47816,87.37999725341797,13.293333053588867,96.12000274658203,2.3433332443237305
4271,2020091311,2935,4,6,48.0,3,1251,Downed,10.0,13.0,C,A,0.88,2.15,3.72,1,2020,73,29141,46671,11.020000457763672,1,46164,,96.4000015258789,31.040000915527344,47845,43.95000076293945,1,46354,,99.94999694824219,32.459999084472656,102.86000061035156,18.639999389648438
4272,2020091311,3143,4,3,57.0,3,1043,Out of Bounds,13.0,10.0,L,N,0.79,2.08,4.46,1,2020,78,47893,46309,8.783333778381348,1,43915,,92.2699966430664,34.33333206176758,46164,45.393333435058594,1,47816,,87.80999755859375,44.823333740234375,96.37000274658203,49.68333435058594
4273,2020091312,476,4,16,52.0,1,1447,Fair Catch,0.0,7.0,C,A,0.94,2.23,4.45,1,2020,79,38138,46277,6.2833333015441895,1,47862,,95.94999694824219,16.6733341217041,42094,46.78333282470703,1,46456,,88.9800033569336,20.49333381652832,91.83999633789062,19.523332595825195
4274,2020091312,2553,4,12,47.0,3,1591,Fair Catch,14.0,13.0,L,N,0.74,2.07,4.05,1,2020,76,38138,46277,8.75333309173584,1,47862,,94.95999908447266,30.513334274291992,42094,46.073333740234375,1,46456,,101.05000305175781,38.44333267211914,95.87000274658203,38.76333236694336
4275,2020091312,3018,4,9,62.0,3,1169,Fair Catch,14.0,20.0,C,N,0.77,2.14,4.22,1,2020,79,38138,46277,8.353333473205566,1,47862,,80.58999633789062,34.36333465576172,42094,47.99333190917969,2,46456,52512,77.18000030517578,48.78333282470703,83.44000244140625,35.96333312988281
4276,2020091312,3370,4,8,73.0,3,931,Return,20.0,17.0,C,N,0.86,2.1,4.98,1,2020,83,38815,47862,4.340000152587891,1,43366,,78.05000305175781,22.639999389648438,48784,44.52000045776367,1,42094,,88.22000122070312,39.689998626708984,94.91000366210938,29.0
4277,2020091312,3822,4,16,54.0,4,389,Fair Catch,20.0,17.0,L,A,0.86,2.13,4.37,1,2020,78,38815,52465,9.09333324432373,1,43366,,89.22000122070312,30.133333206176758,44930,42.53333282470703,1,42094,,100.88999938964844,44.21333312988281,97.7699966430664,41.4033317565918
4278,2020091312,3986,4,5,83.0,4,310,Fair Catch,17.0,20.0,C,N,0.92,2.22,4.71,1,2020,81,38138,46277,6.539999961853027,1,47862,,65.6500015258789,24.549999237060547,42094,49.09000015258789,1,46456,,79.08999633789062,31.670000076293945,80.7300033569336,32.810001373291016
4279,2020091312,4144,4,1,51.0,4,155,Fair Catch,20.0,17.0,L,A,0.8,2.11,4.22,1,2020,76,38815,47862,7.523333549499512,1,52459,,95.79000091552734,35.163333892822266,48784,45.813331604003906,1,43478,,99.83999633789062,42.12333297729492,100.45999908447266,39.913333892822266
4281,2020091400,438,4,10,75.0,1,1426,Return,0.0,3.0,C,N,0.86,2.19,2.98,1,2020,63,29926,47866,7.079999923706055,1,43351,,56.400001525878906,27.229999542236328,52457,44.7599983215332,1,43381,,66.0999984741211,39.900001525878906,69.22000122070312,32.34000015258789
4282,2020091400,1556,4,13,47.0,2,320,Return,10.0,9.0,C,A,0.86,2.07,4.28,1,2020,76,43517,43381,4.599999904632568,1,47866,,90.47000122070312,30.989999771118164,45042,46.779998779296875,1,52697,,93.25,32.5,94.56999969482422,30.969999313354492
4283,2020091400,1643,4,14,88.0,2,216,Return,9.0,10.0,C,N,0.79,2.11,4.55,1,2020,79,29926,47866,6.573333263397217,1,43351,,65.54000091552734,20.433332443237305,,,,,,,,71.0199966430664,20.58333396911621
4284,2020091400,1787,4,13,54.0,2,102,Downed,10.0,9.0,C,N,0.92,2.15,4.59,1,2020,78,43517,43381,6.190000057220459,1,47866,,82.68000030517578,23.610000610351562,45042,45.130001068115234,1,52697,,88.31999969482422,31.59000015258789,87.66000366210938,31.270000457763672
